iso,name,longitude,latitude,region,lendingType,incomeLevel,ugo_Assist,ugo_SocIns,ugo_Labor,ugo_Status
DEU,Germany,13.4115,52.5235,ECS,LNX,HIC,1.0,1.0,1.0,4.0
DJI,Djibouti,43.1425,11.5806,MEA,IDX,LMC,,,,
DMA,Dominica,-61.39,15.2976,LCN,IDB,UMC,,,,
DNK,Denmark,12.5681,55.6763,ECS,LNX,HIC,,,1.0,3.0
DOM,Dominican Republic,-69.8908,18.479,LCN,IBD,UMC,1.0,,,1.0
DZA,Algeria,3.05097,36.7397,MEA,IBD,UMC,,,,
ECU,Ecuador,-78.5243,-0.229498,LCN,IBD,UMC,1.0,,,1.0
EGY,"Egypt, Arab Rep.",31.2461,30.0982,MEA,IBD,LMC,1.0,,,1.0
ERI,Eritrea,38.9183,15.3315,SSF,IDX,LIC,,,,
ESP,Spain,-3.70327,40.4167,ECS,LNX,HIC,1.0,1.0,,4.0
EST,Estonia,24.7586,59.4392,ECS,LNX,HIC,,,1.0,3.0
ETH,Ethiopia,38.7468,9.02274,SSF,IDX,LIC,,,,
FIN,Finland,24.9525,60.1608,ECS,LNX,HIC,,1.0,,2.0
FJI,Fiji,178.399,-18.1149,EAS,IDB,UMC,,,,
FRA,France,2.35097,48.8566,ECS,LNX,HIC,,1.0,,2.0
FRO,Faroe Islands,-6.91181,61.8926,ECS,LNX,HIC,,,,
FSM,"Micronesia, Fed. Sts.",158.185,6.91771,EAS,IDX,LMC,,,,
GAB,Gabon,9.45162,0.38832,SSF,IBD,UMC,,,,
GBR,United Kingdom,-0.126236,51.5002,ECS,LNX,HIC,1.0,1.0,1.0,4.0
GEO,Georgia,44.793,41.71,ECS,IBD,UMC,,,,
GHA,Ghana,-0.20795,5.57045,SSF,IDX,LMC,1.0,,,1.0
GIB,Gibraltar,,,ECS,LNX,HIC,,,,
GIN,Guinea,-13.7,9.51667,SSF,IDX,LIC,,,,
GMB,"Gambia, The",-16.5885,13.4495,SSF,IDX,LIC,,,,
GNB,Guinea-Bissau,-15.1804,11.8037,SSF,IDX,LIC,,,,
GNQ,Equatorial Guinea,8.7741,3.7523,SSF,IBD,UMC,,,,
